Parameter,Type,Min,Max,Default,Example,Description
Cost_To_Consumer,float,0,999999,10,[example](../json/campaign-ovipositiontrap-cost-to-consumer.json),The unit cost per vector control (unamortized).
Disqualifying_Properties,array of strings,NA,NA,[],[example](../json/campaign-ovipositiontrap-disqualifying-properties.json),"A list of **NodeProperty** key:value pairs that cause an intervention to be aborted (persistent interventions will stop being distributed to nodes with these values). See [IndividualProperties and NodeProperties](parameter-demographics.md#nodeproperties-and-individualproperties) parameters for more information. Generally used to control the flow of health care access. For example, to prevent the same individual from accessing health care via two different routes at the same time."
Dont_Allow_Duplicates,boolean,0,1,0,[example](../json/campaign-ovipositiontrap-dont-allow-duplicates.json),Prevents individual from receiving a new intervention with the same Intervetion_Name.
Habitat_Target,enum,NA,NA,NONE,[example](../json/campaign-ovipositiontrap-habitat-target.json),"The oviposition habitat type targeted by oviposition traps. This is a required parameter. NONE is the default to ensure the user selects it. If not ALL_HABITATS, then the type must be one of those configured in **Vector_Species_Params**, **Habitats**. See [Larval habitat](parameter-configuration-larval.md) parameters for more information. Possible values are:<br>* NONE - Default but not allowed; it must be defined.<br>* TEMPORARY_RAINFALL<br>* WATER_VEGETATION<br>* HUMAN_POPULATION<br>* CONSTANT<br>* BRACKISH_SWAMP<br>* LINEAR_SPLINE<br>* ALL_HABITATS"
Intervention_Name,string,NA,NA,OvipositionTrap,[example](../json/campaign-ovipositiontrap-intervention-name.json),"The optional name used to refer to this intervention. If two interventions of this class have different Intervention_Name values, this allows them to co-exist in the node. Otherwise the new intervention replaces the existing one."
Killing_Config,json object,NA,NA,NA,[example](../json/campaign-ovipositiontrap-killing-config.json),"The configuration of the killing effects for the fraction of oviposition cycles that end in the female mosquito's death. If there is skip oviposition, this does not configure the mortality per skip, but instead configures the effective net mortality per gonotrophic cycle over all skips. Specify how this effect decays over time using one of the [Waning effect classes](parameter-campaign-waningeffects.md)."
New_Property_Value,string,NA,NA,"""""",[example](../json/campaign-ovipositiontrap-new-property-value.json),An optional **NodeProperty** key:value pair that will be assigned when the intervention is applied. See [IndividualProperties and NodeProperties](parameter-demographics.md#nodeproperties-and-individualproperties) parameters for more information.
