Parameter,Type,Min,Max,Default,Example,Description
Boosted_Antibody_Concentration,float,0,3.40282e+38,1,[example](../json/campaign-rtssvaccine-boosted-antibody-concentration.json),"The boosted antibody concentration, where unity equals maximum from natural exposure."
Cost_To_Consumer,float,0,999999,3.75,[example](../json/campaign-rtssvaccine-cost-to-consumer.json),"The unit cost of RTS,S vaccination (unamortized)."
Disqualifying_Properties,array of strings,NA,NA,[],[example](../json/campaign-rtssvaccine-disqualifying-properties.json),"A list of **IndividualProperty** key:value pairs that cause an intervention to be aborted (persistent interventions will stop being distributed to individuals with these values). See [IndividualProperties and NodeProperties](parameter-demographics.md#nodeproperties-and-individualproperties) parameters for more information. Generally used to control the flow of health care access. For example, to prevent the same individual from accessing health care via two different routes at the same time."
Dont_Allow_Duplicates,boolean,0,1,0,[example](../json/campaign-rtssvaccine-dont-allow-duplicates.json),"If an individual's container has an intervention, set to true (1) to prevent them from receiving another copy of the intervention. Supported by all intervention classes."
Intervention_Name,string,NA,NA,RTSSVaccine,[example](../json/campaign-rtssvaccine-intervention-name.json),The optional name used to refer to this intervention as a means to differentiate it from others that use the same class.
New_Property_Value,string,NA,NA,"""""",[example](../json/campaign-rtssvaccine-new-property-value.json),"An optional **IndividualProperty** key:value pair that will be assigned when the intervention is applied. See [IndividualProperties and NodeProperties](parameter-demographics.md#nodeproperties-and-individualproperties) parameters for more information. Generally used to indicate the broad category of health care cascade to which an intervention belongs to prevent individuals from accessing care through multiple pathways. For example, if an individual must already be taking a particular medication to be prescribed a new one. "
