Parameter,Type,Min,Max,Default,Example,Description
Disqualifying_Properties,array of strings,NA,NA,[],[example](../json/campaign-scalelarvalhabitat-disqualifying-properties.json),"A list of **NodeProperty** key:value pairs that cause an intervention to be aborted (persistent interventions will stop being distributed to nodes with these values). See [IndividualProperties and NodeProperties](parameter-demographics.md#nodeproperties-and-individualproperties) parameters for more information. Generally used to control the flow of health care access. For example, to prevent the same individual from accessing health care via two different routes at the same time."
Dont_Allow_Duplicates,boolean,0,1,0,[example](../json/campaign-scalelarvalhabitat-dont-allow-duplicates.json),Prevents individual from receiving a new intervention with the same Intervetion_Name.
Factor,float,0,3.40E+38,1,[example](../json/campaign-scalelarvalhabitat-factor.json),The multiplier by which to scale the larval habitat availability.
Habitat,enum,NA,NA,NONE,[example](../json/campaign-scalelarvalhabitat-habitat.json),The name of the habitat for which to specify a larval habitat multiplier. See [Larval habitat](parameter-configuration-larval.md) parameters for more information. Possible values are:<br>* NONE (default but not allowed; it must be configured to a habitat type)<br>* TEMPORARY_RAINFALL<br>* WATER_VEGETATION<br>* MARSHY_STREAM<br>* HUMAN_POPULATION<br>* CONSTANT<br>* BRACKISH_SWAMP<br>* LINEAR_SPLINE<br>* ALL_HABITATS
Intervention_Name,string,NA,NA,ScaleLarvalHabitat,[example](../json/campaign-scalelarvalhabitat-intervention-name.json),The optional name used to refer to this intervention as a means to differentiate it from others that use the same class.
Larval_Habitat_Multiplier,array of json objects,NA,NA,NA,"[example](../json/campaign-scalelarvalhabitat-larval-habitat-multiplier-1.json), [example](../json/campaign-scalelarvalhabitat-larval-habitat-multiplier-2.json), [example](../json/campaign-scalelarvalhabitat-larval-habitat-multiplier-3.json)","The value by which to scale the larval habitat availability (specified in **Habitats** in the configuration file) per intervention, across all habitat types, for specific habitat types, or for specific mosquito species within each habitat type. See [Larval habitat](parameter-configuration-larval.md) parameters for more information."
New_Property_Value,string,NA,NA,"""""",[example](../json/campaign-scalelarvalhabitat-new-property-value.json),An optional **NodeProperty** key:value pair that will be assigned when the intervention is applied. See [IndividualProperties and NodeProperties](parameter-demographics.md#nodeproperties-and-individualproperties) parameters for more information.
Species,string,NA,NA,ALL_SPECIES,[example](../json/campaign-scalelarvalhabitat-species.json),The name of the species for which to specify a larval habitat multiplier. This must be one of the names specified in the configuration parameter **Vector_Species_Params** or set to ALL_SPECIES.
