Parameter,Type,Min,Max,Default,Example,Description
Broadcast_Event,string,NA,NA,"""""",[example](../json/campaign-broadcastcoordinatorevent-broadcast-event.json),The name of the event to be broadcast. This event must be set in the **Custom_Coordinator_Events** configuration parameter. This cannot be assigned an empty string for the event.
Coordinator_Name,string,NA,NA,NA,[example](../json/campaign-broadcastcoordinatorevent-coordinator-name.json),"The unique identifying coordinator name, which is useful with the output report, ReportCoordinatorEventRecorder.csv."
Cost_To_Consumer,float,0,3.40282e+38,0,[example](../json/campaign-broadcastcoordinatorevent-cost-to-consumer.json),The unit cost of broadcasting the event.
