Parameter,Type,Min,Max,Default,Example,Description
Cost_To_Consumer,float,0,999999,10,[example](../json/campaign-larvicides-cost-to-consumer.json),The unit cost per vector control (unamortized).
Disqualifying_Properties,array of strings,NA,NA,[],[example](../json/campaign-larvicides-disqualifying-properties.json),"A list of **NodeProperty** key:value pairs that cause an intervention to be aborted (persistent interventions will stop being distributed to nodes with these values). See [IndividualProperties and NodeProperties](parameter-demographics.md#nodeproperties-and-individualproperties) parameters for more information. Generally used to control the flow of health care access. For example, to prevent the same individual from accessing health care via two different routes at the same time."
Dont_Allow_Duplicates,boolean,0,1,0,[example](../json/campaign-larvicides-dont-allow-duplicates.json),Prevents individual from receiving a new intervention with the same Intervetion_Name.
Habitat_Target,enum,NA,NA,NONE,[example](../json/campaign-larvicides-habitat-target.json),"The larval habitat type targeted for larvicide. This is a required parameter. NONE is the default to ensure the user selects it. If not ALL_HABITATS, then the type must be one of those configured in **Vector_Species_Params**, **Habitats**. See [Larval habitat](parameter-configuration-larval.md) parameters for more information. Possible values are:<br>* NONE - Default but not allowed; it must be defined.<br>* TEMPORARY_RAINFALL<br>* WATER_VEGETATION<br>* HUMAN_POPULATION<br>* CONSTANT<br>* BRACKISH_SWAMP<br>* LINEAR_SPLINE<br>* ALL_HABITATS"
Insecticide_Name,string,NA,NA,UNINITIALIZED STRING,[example](../json/campaign-larvicides-insecticide-name.json),"The name of the insecticide defined in  the configuration parameter **Insecticides**  for this intervention.  If insecticides are being used,  this must be defined as one of those values; if they are not being used this can be empty.  It cannot have a value if you did not configure the configuration parameter **Insecticides**."
Intervention_Name,string,NA,NA,Larvicides,[example](../json/campaign-larvicides-intervention-name.json),The optional name used to refer to this intervention as a means to differentiate it from others that use the same class.
Larval_Killing_Config,json object,NA,NA,NA,[example](../json/campaign-larvicides-larval-killing-config.json),The configuration of larval killing efficacy and waning for targeted stage. Specify how this effect decays over time using one of the [Waning effect classes](parameter-campaign-waningeffects.md).
New_Property_Value,string,NA,NA,"""""",[example](../json/campaign-larvicides-new-property-value.json),An optional **NodeProperty** key:value pair that will be assigned when the intervention is applied. See [IndividualProperties and NodeProperties](parameter-demographics.md#nodeproperties-and-individualproperties) parameters for more information.
Spray_Coverage,float,0,1,1,[example](../json/campaign-larvicides-spray-coverage.json),The portion of the node that has been sprayed. This value is multiplied by the current efficacy of the **WaningEffect**.
