Parameter,Type,Min,Max,Default,Description
Daily_EIR,array of floats,0,1000,[],An array of 365 values where each value is the mean number of infectious bites experienced by an individual for that day of the year. Used when **EIR_Type** is set to 'DAILY'.
Disqualifying_Properties,array of strings,NA,NA,[],"A list of **NodeProperty** key:value pairs that cause an intervention to be aborted (persistent interventions will stop being distributed to nodes with these values). See [IndividualProperties and NodeProperties](parameter-demographics.md#nodeproperties-and-individualproperties) parameters for more information. Generally used to control the flow of health care access. For example, to prevent the same individual from accessing health care via two different routes at the same time."
Dont_Allow_Duplicates,bool,NA,NA,0,"If set to true (1), does not allow any new interventions with matching **Intervention_Name** parameter value to be distributed to the node."
EIR_Type,enum,NA,NA,MONTHLY,Specifies the frequency of the EIR read-in: options are 'MONTHLY' (default) or 'DAILY'.
Intervention_Name,string,NA,NA,InputEIR,The optional name used to refer to this intervention as a means to differentiate it from others that use the same class.
Monthly_EIR,array of floats,0,1000,NA,"An array of exactly 12 elements that contain an entomological inoculation rate (EIR) for each month. Each value should be between 0 and 1000, there is no default. Note that the ‘current month’ is based on the time since the intervention was distributed, and there will be a 12-month repeating pattern from the day it’s distributed. Used when **EIR_Type** is set to 'MONTHLY'."
New_Property_Value,string,NA,NA,"""""",An optional **NodeProperty** key:value pair that will be assigned when the intervention is applied. See [IndividualProperties and NodeProperties](parameter-demographics.md#nodeproperties-and-individualproperties) parameters for more information.
Scaling_Factor,float,0,1000,1,A modifier that is multiplied by the EIR determined for the current day.
