Parameter,Type,Min,Max,Default,Example,Description
Cost_To_Consumer,float,0,999999,0,[example](../json/campaign-larvalmicrosporidiaintervention-cost-to-consumer.json),The unit cost per vector control (unamortized).
Disqualifying_Properties,array of strings,NA,NA,[],[example](../json/campaign-larvalmicrosporidiaintervention-disqualifying-properties.json),A list of **NodeProperty** key:value pairs that cause an intervention to be aborted (persistent interventions will stop being distributed to nodes with these values). See [IndividualProperties and NodeProperties](parameter-demographics.md#nodeproperties-and-individualproperties) parameters for more information.
Dont_Allow_Duplicates,boolean,0,1,0,[example](../json/campaign-larvalmicrosporidiaintervention-dont-allow-duplicates.json),Prevents a node from receiving a new intervention with the same **Intervention_Name**.
Habitat_Coverage,float,0,1,1,[example](../json/campaign-larvalmicrosporidiaintervention-habitat-coverage.json),The portion of the targeted habitat that is treated with microsporidia.
Habitat_Target,enum,NA,NA,ALL_HABITATS,[example](../json/campaign-larvalmicrosporidiaintervention-habitat-target.json),"The larval habitat type to target with the intervention. If not ALL_HABITATS, the type must be one of those configured in **Vector_Species_Params**, **Habitats** for the species that the microsporidia strain infects. See [Larval habitat](parameter-configuration-larval.md) parameters for more information. Possible values are:<br>* ALL_HABITATS<br>* TEMPORARY_RAINFALL<br>* WATER_VEGETATION<br>* HUMAN_POPULATION<br>* CONSTANT<br>* BRACKISH_SWAMP<br>* LINEAR_SPLINE"
Infectivity_Config,json object,NA,NA,NA,[example](../json/campaign-larvalmicrosporidiaintervention-infectivity-config.json),The configuration of the daily microsporidia infectivity applied to larvae and its waning over time. Specify how this effect decays over time using one of the [Waning effect classes](parameter-campaign-waningeffects.md).
Intervention_Name,string,NA,NA,LarvalMicrosporidiaIntervention,[example](../json/campaign-larvalmicrosporidiaintervention-intervention-name.json),The optional name used to refer to this intervention as a means to differentiate it from others that use the same class.
New_Property_Value,string,NA,NA,"""""",[example](../json/campaign-larvalmicrosporidiaintervention-new-property-value.json),An optional **NodeProperty** key:value pair that will be assigned when the intervention is applied. See [IndividualProperties and NodeProperties](parameter-demographics.md#nodeproperties-and-individualproperties) parameters for more information.
Strain_Name,string,NA,NA,NA,[example](../json/campaign-larvalmicrosporidiaintervention-strain-name.json),"The name of the microsporidia strain used by the intervention to infect the larvae. This must match a strain defined in **Vector_Species_Params**, **Microsporidia**. Since microsporidia strain names must be unique between the species, you don't need to specify the target species."
