Parameter,Type,Min,Max,Default,Example,Description
Durability_Map,json object,NA,NA,NA,[example](../json/campaign-waningeffectmapcount-durability-map.json),"The time, in days, since the intervention was distributed and a multiplier for the **Initial_Effect**."
Initial_Effect,float,0,1,1,[example](../json/campaign-waningeffectmapcount-initial-effect.json),"The multiplier used to define the magnitude of the shape of the curve, as specified when using the parameters with the **WaningEffectMapLinear** class."
Times,array of floats,0,999999,[],[example](../json/campaign-waningeffectmapcount-times.json),An array of days.
Values,array of floats,0,3.40282e+38,[],[example](../json/campaign-waningeffectmapcount-values.json),An array of values to match the defined **Times**.
