Parameter,Type,Min,Max,Default,Example,Description
Cost_To_Consumer,float,0,999999,10,[example](../json/campaign-animalfeedkill-cost-to-consumer.json),The unit cost per vector control (unamortized).
Disqualifying_Properties,array of strings,NA,NA,[],[example](../json/campaign-animalfeedkill-disqualifying-properties.json),"A list of **NodeProperty** key:value pairs that cause an intervention to be aborted (persistent interventions will stop being distributed to nodes with these values). See [IndividualProperties and NodeProperties](parameter-demographics.md#nodeproperties-and-individualproperties) parameters for more information. Generally used to control the flow of health care access. For example, to prevent the same individual from accessing health care via two different routes at the same time."
Dont_Allow_Duplicates,bool,NA,NA,0,[example](../json/campaign-animalfeedkill-dont-allow-duplicates.json),"If set to true (1), does not allow any new interventions with matching **Intervention_Name** parameter value to be distributed to the node."
Insecticide_Name,string,NA,NA,UNINITIALIZED STRING,[example](../json/campaign-animalfeedkill-insecticide-name.json),"The name of the insecticide defined in  <config.Insecticides>  for this intervention.  If insecticides are being used,  this must be defined as one of those values; if they are not being used this can be empty.  It cannot have a value if you did not configure <config.Insecticides>."
Intervention_Name,string,NA,NA,AnimalFeedKill,[example](../json/campaign-animalfeedkill-intervention-name.json),"The optional name used to refer to this intervention. If two interventions of this class have different Intervention_Name values, this allows them to co-exist in the node. Otherwise the new intervention replaces the existing one."
Killing_Config,json object,NA,NA,NA,[example](../json/campaign-animalfeedkill-killing-config.json),The configuration of killing efficacy of the targeted stage. Specify how this effect decays over time using one of the [Waning effect classes](parameter-campaign-waningeffects.md).
New_Property_Value,string,NA,NA,"""""",[example](../json/campaign-animalfeedkill-new-property-value.json),An optional **NodeProperty** key:value pair that will be assigned when the intervention is applied. See [IndividualProperties and NodeProperties](parameter-demographics.md#nodeproperties-and-individualproperties) parameters for more information.
