Parameter,Type,Min,Max,Default,Example,Description
Name,string,NA,NA,UNINITIALIZED STRING,[example](../json/config-insecticides-malaria-name.json),The name of the insecticide. This name is referenced by the **Insecticide_Name** parameter in campaign interventions to link an intervention's effects to the resistance modifiers defined here.
Resistances,array of json objects,NA,NA,[],[example](../json/config-insecticides-malaria-resistances.json),"An array of resistance modifier objects that define how to modify the efficacy of the insecticide for particular vector genomes. Each object specifies a species, allele combination, and modifiers for killing, blocking, repelling, and larval killing effects."
Allele_Combinations,array of string arrays,NA,NA,[],[example](../json/config-insecticides-malaria-allele-combinations.json),"The combination of alleles that vectors must have in order to be resistant. Each inner array represents one locus with two allele names. Use `*` as a wildcard to match any allele at a position. The order of alleles within an inner array does not matter — `[""a"", ""*""]` and `[""*"", ""a""]` are treated identically. These alleles must be defined in the **Genes** configuration for the associated species. Uses the same syntax as **Gene_To_Trait_Modifiers** allele combinations (see [Vector genetics](vector-model-genetics.md))."
Blocking_Modifier,float,0,3.40282E+38,1.0,[example](../json/config-insecticides-malaria-blocking-modifier.json),The value used to multiply the blocking effectiveness of an intervention for vectors matching the allele combination. A value of 1.0 means full susceptibility; less than 1.0 means partial resistance; 0.0 means complete resistance; greater than 1.0 means increased susceptibility.
Killing_Modifier,float,0,3.40282E+38,1.0,[example](../json/config-insecticides-malaria-killing-modifier.json),The value used to multiply the killing effectiveness of an intervention for vectors matching the allele combination. A value of 1.0 means full susceptibility; less than 1.0 means partial resistance; 0.0 means complete resistance; greater than 1.0 means increased susceptibility.
Larval_Killing_Modifier,float,0,3.40282E+38,1.0,[example](../json/config-insecticides-malaria-larval-killing-modifier.json),The value used to multiply the larval killing effectiveness of an intervention for vectors matching the allele combination. A value of 1.0 means full susceptibility; less than 1.0 means partial resistance; 0.0 means complete resistance; greater than 1.0 means increased susceptibility.
Repelling_Modifier,float,0,3.40282E+38,1.0,[example](../json/config-insecticides-malaria-repelling-modifier.json),The value used to multiply the repelling effectiveness of an intervention for vectors matching the allele combination. A value of 1.0 means full susceptibility; less than 1.0 means partial resistance; 0.0 means complete resistance; greater than 1.0 means increased susceptibility.
Species,string,NA,NA,UNINITIALIZED STRING,[example](../json/config-insecticides-malaria-species.json),The name of the vector species for which this resistance entry applies. Must match a species name defined in **Vector_Species_Params**.
