Parameter,Type,Min,Max,Default,Description
Cost_To_Consumer,float,0,999999,10,The unit cost per vector control (unamortized).
Disqualifying_Properties,array of strings,NA,NA,[],"A list of **IndividualProperty** key:value pairs that cause an intervention to be aborted (persistent interventions will stop being distributed to individuals with these values). See [IndividualProperties and NodeProperties](parameter-demographics.md#nodeproperties-and-individualproperties) parameters for more information. Generally used to control the flow of health care access. For example, to prevent the same individual from accessing health care via two different routes at the same time."
Dont_Allow_Duplicates,bool,NA,NA,0,"If set to true (1), does not allow any new interventions with matching **Intervention_Name** parameter value to be distributed to the node."
Insecticide_Name,string,NA,NA,UNINITIALIZED STRING,"The name of the insecticide defined in  <config.Insecticides>  for this intervention.  If insecticides are being used,  this must be defined as one of those values; if they are not being used this can be empty.  It cannot have a value if you did not configure <config.Insecticides>."
Intervention_Name,string,NA,NA,SpatialRepellent,The optional name used to refer to this intervention as a means to differentiate it from others that use the same class.
New_Property_Value,string,NA,NA,"""""",An optional **NodeProperty** key:value pair that will be assigned when the intervention is applied. See [IndividualProperties and NodeProperties](parameter-demographics.md#nodeproperties-and-individualproperties) parameters for more information.
Repelling_Config,json object,NA,NA,NA,Defines the configuration of efficacy and waning for outdoor node emanator. Specify how this effect decays over time using one of the [Waning effect classes](parameter-campaign-waningeffects.md).
Killing_Config,json object,NA,NA,NA,Defines the configuration of efficacy and waning for outdoor node emanator. Specify how this effect decays over time using one of the [Waning effect classes](parameter-campaign-waningeffects.md).
Spray_Coverage,float,0,1,1,The portion of the node that has been sprayed. This value is multiplied by the current efficacy of the **WaningEffect**.
