Parameter,Type,Min,Max,Default,Example,Description
Age_Thresholds,array of json objects,NA,NA,[],[example](../json/campaign-agediagnostic-age-thresholds.json),Used to associate age ranges for individuals.
Cost_To_Consumer,float,0,3.40282e+38,1,[example](../json/campaign-agediagnostic-cost-to-consumer.json),"The unit 'cost' assigned to the diagnostic. Setting **Cost_To_Consumer** to zero for all other interventions, and to a non-zero amount for one intervention, provides a convenient way to track the number of times the intervention has been applied in a simulation."
Disqualifying_Properties,array of strings,NA,NA,[],[example](../json/campaign-agediagnostic-disqualifying-properties.json),"A list of **IndividualProperty** key:value pairs that cause an intervention to be aborted (persistent interventions will stop being distributed to individuals with these values). See [IndividualProperties and NodeProperties](parameter-demographics.md#nodeproperties-and-individualproperties) parameters for more information. Generally used to control the flow of health care access. For example, to prevent the same individual from accessing health care via two different routes at the same time."
Dont_Allow_Duplicates,boolean,0,1,0,[example](../json/campaign-agediagnostic-dont-allow-duplicates.json),"If an individual's container has an intervention, set to true (1) to prevent them from receiving another copy of the intervention. Supported by all intervention classes."
Event,string,NA,NA,"""""",[example](../json/campaign-agediagnostic-event.json),The user-defined name of the diagnostic event; part of the **Age_Thresholds** parameter.
High,float,0,1000,NA,[example](../json/campaign-agediagnostic-high.json),The high end of the age grouping; part of the **Age_Thresholds** parameter.
Intervention_Name,string,NA,NA,AgeDiagnostic,[example](../json/campaign-agediagnostic-intervention-name.json),The optional name used to refer to this intervention as a means to differentiate it from others that use the same class.
Low,float,0,1000,NA,[example](../json/campaign-agediagnostic-low.json),The low end of the age grouping; part of the **Age_Thresholds** parameter.
New_Property_Value,string,NA,NA,"""""",[example](../json/campaign-agediagnostic-new-property-value.json),"An optional **IndividualProperty** key:value pair that will be assigned when the intervention is applied. See [IndividualProperties and NodeProperties](parameter-demographics.md#nodeproperties-and-individualproperties) parameters for more information. Generally used to indicate the broad category of health care cascade to which an intervention belongs to prevent individuals from accessing care through multiple pathways. For example, if an individual must already be taking a particular medication to be prescribed a new one. "
