Parameter,Type,Min,Max,Default,Example,Description
Expiration_Period_Peak_2_Value,float,0,3.40282E+38,-1,[example](../json/campaign-multiinsecticideusagedependentbednet-expiration-period-peak-2-value.json),"The expiration period value to assign to the remaining bednets, in days, when **Expiration_Period_Distribution** is set to DUAL_CONSTANT_DISTRIBUTION."
Expiration_Period_Poisson_Mean,float,0,3.40282E+38,-1,[example](../json/campaign-multiinsecticideusagedependentbednet-expiration-period-poisson-mean.json),"The mean of the expiration period, in days, when **Expiration_Period** is set to POISSON_DISTRIBUTION."
Expiration_Period_Proportion_0,float,0,1,-1,[example](../json/campaign-multiinsecticideusagedependentbednet-expiration-period-proportion-0.json),The proportion of bednets to assign a value of zero days until expiration when **Expiration_Period_Distribution** is set to DUAL_CONSTANT_DISTRIBUTION.
Expiration_Period_Proportion_1,float,0,1,-1,[example](../json/campaign-multiinsecticideusagedependentbednet-expiration-period-proportion-1.json),The proportion of bednets in the first exponential distribution.
Insecticide_Name,string,NA,NA,UNINITIALIZED STRING,[example](../json/campaign-multiinsecticideusagedependentbednet-insecticide-name.json),"Object in the **Insecticides** array, the name of the insecticide defined in  **Insecticides**  for this intervention.  If insecticides are being used,  this must be defined as one of those values; if they are not being used this can be empty.  It cannot have a value if you did not configure <config.Insecticides>."
Insecticides,array of json objects,None,None,[],[example](../json/campaign-multiinsecticideusagedependentbednet-insecticides.json),An array of objects defining the blocking and killing efficacy of each insecticide.
Intervention_Name,string,NA,NA,MultiInsecticideUsageDependentBednet,[example](../json/campaign-multiinsecticideusagedependentbednet-intervention-name.json),The optional name used to refer to this intervention as a means to differentiate it from others that use the same class.
Killing_Config,json object,NA,NA,NA,[example](../json/campaign-multiinsecticideusagedependentbednet-killing-config.json),"Object in the **Insecticides** array, the configuration of the rate at which mosquitoes die, conditional on a successfully blocked feed.  Specify how this effect decays over time using one of the [Waning effect classes](parameter-campaign-waningeffects.md)."
Received_Event,enum,NA,NA,"""""",[example](../json/campaign-multiinsecticideusagedependentbednet-received-event.json),"This parameter broadcasts when a new net is received, either the first net or a replacement net. See [Event list](parameter-campaign-event-list.md) for possible values, or you can use a custom event (defined in the **Custom_Individudual_Events** list in the config file)."
Repelling_Config,json object,NA,NA,NA,[example](../json/campaign-multiinsecticideusagedependentbednet-repelling-config.json),"Object in the **Insecticides** array, defines a waning effect that determines the probability that a vector is repelled due to the intervention. Specify how this effect decays over time using one of the [Waning effect classes](parameter-campaign-waningeffects.md)."
Usage_Config_List,array of json objects,NA,NA,NA,[example](../json/campaign-multiinsecticideusagedependentbednet-usage-config-list.json),The list of **WaningEffects** whose effects are multiplied together to get the usage effect. Specify how this effect decays over time using one of the [Waning effect classes](parameter-campaign-waningeffects.md).
Using_Event,enum,NA,NA,"""""",[example](../json/campaign-multiinsecticideusagedependentbednet-using-event.json),"This parameter broadcasts each time step in which a bednet is used. See [Event list](parameter-campaign-event-list.md) for possible values, or you can use a custom event (defined in the **Custom_Individudual_Events** list in the config file)."
