Parameter,Type,Min,Max,Default,Example,Description
Durability_Map,json object,NA,NA,NA,[example](../json/campaign-waningeffectmappiecewise-durability-map.json),"The time, in days, since the intervention was distributed and a multiplier for the **Initial_Effect**."
Expire_At_Durability_Map_End,boolean,0,1,0,[example](../json/campaign-waningeffectmappiecewise-expire-at-durability-map-end.json),Set to 1 to let the intervention expire when the end of the map is reached.
Initial_Effect,float,0,1,1,[example](../json/campaign-waningeffectmappiecewise-initial-effect.json),"The multiplier used to define the magnitude of the shape of the curve, as specified when using the parameters with the **WaningEffectMapPiecewise** class."
Reference_Timer,integer,0,2147480000.0,0,[example](../json/campaign-waningeffectmappiecewise-reference-timer.json),The timestamp at which linear-map should be anchored.
Times,array of floats,0,999999,[],[example](../json/campaign-waningeffectmappiecewise-times.json),An array of days.
Values,array of floats,0,3.40282e+38,[],[example](../json/campaign-waningeffectmappiecewise-values.json),An array of values to match the defined **Times**.
