Parameter,Type,Min,Max,Default,Example,Description
Polygon_Format,enum,NA,NA,SHAPE,[example](../json/campaign-nodesetpolygon-polygon-format.json),"The type of polygon to create. Currently, SHAPE is the only supported value."
Vertices,string,NA,NA,UNINTIALIZED STRING,[example](../json/campaign-nodesetpolygon-vertices.json),Comma-separated list of latitude/longitude points that bound a polygon.
