Parameter,Type,Min,Max,Default,Example,Description
Disqualifying_Properties,array of strings,NA,NA,[],[example](../json/campaign-multinodeinterventiondistributor-disqualifying-properties.json),"A list of **NodeProperty** key:value pairs that cause an intervention to be aborted (persistent interventions will stop being distributed to individuals with these values). See [IndividualProperties and NodeProperties](parameter-demographics.md#nodeproperties-and-individualproperties) parameters for more information. Generally used to control the flow of health care access. For example, to prevent the same individual from accessing health care via two different routes at the same time."
Dont_Allow_Duplicates,boolean,0,1,0,[example](../json/campaign-multinodeinterventiondistributor-dont-allow-duplicates.json),"If an individual's container has an intervention, set to true (1) to prevent them from receiving another copy of the intervention. Supported by all intervention classes."
Intervention_Name,string,NA,NA,MultiNodeInterventionDistributor,[example](../json/campaign-multinodeinterventiondistributor-intervention-name.json),The optional name used to refer to this intervention as a means to differentiate it from others that use the same class.
New_Property_Value,string,NA,NA,"""""",[example](../json/campaign-multinodeinterventiondistributor-new-property-value.json),An optional **NodeProperty** key:value pair that will be assigned when the intervention is applied. See [IndividualProperties and NodeProperties](parameter-demographics.md#nodeproperties-and-individualproperties) parameters for more information.
Node_Intervention_List,array of json objects,NA,NA,NA,[example](../json/campaign-multinodeinterventiondistributor-node-intervention-list.json),A list of nested JSON objects for the multi-node-level interventions to be distributed by this intervention.
