Parameter,Type,Min,Max,Default,Example,Description
Author,string,NA,NA,NA,[example](../json/demo-metadata-malaria-author.json),"The person who created the demographics file. Files generated by COMPS will include this value, but it is not used by EMOD simulations."
DateCreated,string,NA,NA,NA,[example](../json/demo-metadata-malaria-datecreated.json),"The date the demographics file was created. Files generated by COMPS will include this value, but it is not used by EMOD simulations."
IdReference,string,NA,NA,NA,[example](../json/demo-metadata-malaria-idreference.json),"The identifier for a simulation; all input files (except configuration and campaign files) used in a simulation must have the same **IdReference** value. The value must be greater than 0. If the input files are generated using COMPS, this indicates the method used for generating the **NodeID**, the identifier used for each node in the simulation."
Metadata,json object,NA,NA,NA,[example](../json/demo-metadata-malaria-metadata.json),The structure that contains the metadata for the demographics file.
NodeCount,integer,1,Depends on available memory,NA,[example](../json/demo-metadata-malaria-nodecount.json),The number of nodes to expect in the input files. This parameter is required.
Resolution,integer,NA,NA,NA,[example](../json/demo-metadata-malaria-resolution.json),"The spatial resolution of the demographics file. Files generated by COMPS will include this value, but it is not used by EMOD simulations."
Tool,string,NA,NA,NA,[example](../json/demo-metadata-malaria-tool.json),"The software tool used to create the demographics file. Files generated by COMPS will include this value, but it is not used by EMOD simulations."
