Parameter,Type,Min,Max,Default,Example,Description
Cost_To_Consumer,float,0,999999,10,[example](../json/campaign-spatialrepellent-cost-to-consumer.json),The unit cost per vector control (unamortized).
Disqualifying_Properties,array of strings,NA,NA,[],[example](../json/campaign-spatialrepellent-disqualifying-properties.json),"A list of **IndividualProperty** key:value pairs that cause an intervention to be aborted (persistent interventions will stop being distributed to individuals with these values). See [IndividualProperties and NodeProperties](parameter-demographics.md#nodeproperties-and-individualproperties) parameters for more information. Generally used to control the flow of health care access. For example, to prevent the same individual from accessing health care via two different routes at the same time."
Dont_Allow_Duplicates,boolean,0,1,0,[example](../json/campaign-spatialrepellent-dont-allow-duplicates.json),"If an individual's container has an intervention, set to true (1) to prevent them from receiving another copy of the intervention. Supported by all intervention classes."
Insecticide_Name,string,NA,NA,UNINITIALIZED STRING,[example](../json/campaign-spatialrepellent-insecticide-name.json),"The name of the insecticide defined in  <config.Insecticides>  for this intervention.  If insecticides are being used,  this must be defined as one of those values; if they are not being used this can be empty.  It cannot have a value if you did not configure <config.Insecticides>."
Intervention_Name,string,NA,NA,SpatialRepellent,[example](../json/campaign-spatialrepellent-intervention-name.json),"The optional name used to refer to this intervention. If two interventions of this class have different Intervention_Name values, this allows them to co-exist in the node. Otherwise the new intervention replaces the existing one."
New_Property_Value,string,NA,NA,"""""",[example](../json/campaign-spatialrepellent-new-property-value.json),An optional **NodeProperty** key:value pair that will be assigned when the intervention is applied. See [IndividualProperties and NodeProperties](parameter-demographics.md#nodeproperties-and-individualproperties) parameters for more information.
Repelling_Config,json object,NA,NA,NA,[example](../json/campaign-spatialrepellent-repelling-config.json),Defines the configuration of efficacy and waning for spatial repellent. Specify how this effect decays over time using one of the [Waning effect classes](parameter-campaign-waningeffects.md).
Spray_Coverage,float,0,1,1,[example](../json/campaign-spatialrepellent-spray-coverage.json),The portion of the node that has been sprayed. This value is multiplied by the current efficacy of the **WaningEffect**.
