Parameter,Type,Min,Max,Default,Example,Description
Initial_Amount_Proportion_0,float,0,1,-1,[example](../json/campaign-communityhealthworkereventcoordinator-initial-amount-proportion-0.json),The proportion of health workers to assign a value of zero stock when **Initial_Amount_Distribution** is set to DUAL_CONSTANT_DISTRIBUTION.
Initial_Amount_Proportion_1,float,0,1,-1,[example](../json/campaign-communityhealthworkereventcoordinator-initial-amount-proportion-1.json),The proportion of health workers in the first exponential distribution when **Initial_Amount_Distribution** is set to DUAL_EXPONENTIAL_DISTRIBUTION.
Intervention_Config,json object,NA,NA,NA,[example](../json/campaign-communityhealthworkereventcoordinator-intervention-config.json),The nested JSON of the actual intervention to be distributed by this event coordinator.
Max_Distributed_Per_Day,integer,1,2147480000.0,2147480000.0,[example](../json/campaign-communityhealthworkereventcoordinator-max-distributed-per-day.json),The maximum number of interventions (such as vaccine doses) that can be distributed by health workers or clinics in a given day.
Max_Stock,integer,0,2147480000.0,2147480000.0,[example](../json/campaign-communityhealthworkereventcoordinator-max-stock.json),"The maximum number of interventions (such as vaccine doses) that can be stored by a health worker or clinic. If the amount of interventions in a new shipment and current stock exceeds this value, only the number of interventions specified by this value will be stored."
Node_Property_Restrictions,array of json objects,NA,NA,NA,[example](../json/campaign-communityhealthworkereventcoordinator-node-property-restrictions.json),"A list of the **NodeProperty** key:value pairs, as defined in the demographics file, that nodes must have to be targeted by the intervention. See [IndividualProperties and NodeProperties](parameter-demographics.md#nodeproperties-and-individualproperties) parameters for more information.<br>You can specify AND and OR combinations of key:value pairs with this parameter."
Property_Restrictions,array of json objects,NA,NA,NA,[example](../json/campaign-communityhealthworkereventcoordinator-property-restrictions.json),"A list of the **IndividualProperty** key:value pairs, as defined in the demographics file, that individuals must have to be targeted by this intervention. See [IndividualProperties and NodeProperties](parameter-demographics.md#nodeproperties-and-individualproperties) parameters for more information.<br>To specify AND and OR combinations of key:value pairs, use **Property_Restrictions_Within_Node**. You cannot use both of these parameters in the same event coordinator."
Property_Restrictions_Within_Node,array of json objects,NA,NA,NA,[example](../json/campaign-communityhealthworkereventcoordinator-property-restrictions-within-node.json),"A list of the **IndividualProperty** key:value pairs, as defined in the demographics file, that individuals must have to be targeted by this intervention. See [IndividualProperties and NodeProperties](parameter-demographics.md#nodeproperties-and-individualproperties) parameters for more information.<br>This parameter allows you to specify AND and OR combinations of key:value pairs. You may specify individual property restrictions using either this parameter or **Property_Restrictions**, but not both. "
Target_Age_Max,float,0,9.3228e+35,9.3228e+35,[example](../json/campaign-communityhealthworkereventcoordinator-target-age-max.json),"The upper end of ages targeted for an intervention, in years."
Target_Age_Min,float,0,9.3228e+35,0,[example](../json/campaign-communityhealthworkereventcoordinator-target-age-min.json),"The lower end of ages targeted for an intervention, in years. Used when **Target_Demographic** is set to ExplicitAgeRanges or ExplicitAgeRangesAndGender."
Target_Demographic,enum,NA,NA,Everyone,[example](../json/campaign-communityhealthworkereventcoordinator-target-demographic.json),The target demographic group. Possible values are:<br>* Everyone<br>* ExplicitAgeRanges<br>* ExplicitAgeRangesAndGender<br>* ExplicitGender<br>* ExplicitDiseaseState
Target_Gender,enum,NA,NA,All,[example](../json/campaign-communityhealthworkereventcoordinator-target-gender.json),Specifies the gender restriction for the intervention. Possible values are:<br>* Male<br>* Female<br>* All
Target_Residents_Only,boolean,0,1,0,[example](../json/campaign-communityhealthworkereventcoordinator-target-residents-only.json),"When set to true (1), the intervention is only distributed to individuals that began the simulation in the node (i.e. those that claim the node as their residence)."
Targeting_Config,json object,NA,NA,NA,[example](../json/campaign-communityhealthworkereventcoordinator-targeting-config.json),Be more selective of individuals by using the [Targeting_Config classes](parameter-campaign-targeting-config.md).
Trigger_Condition_List,array of strings,NA,NA,NA,[example](../json/campaign-communityhealthworkereventcoordinator-trigger-condition-list.json),"The list of events that are of interest to the community health worker (CHW). If one of these events occurs, the individual or node is put into a queue to receive the CHW's intervention. The CHW processes the queue when the event coordinator is updated. See [Event list](parameter-campaign-event-list.md) for possible values."
Waiting_Period,float,0,3.40282e+38,3.40E+38,[example](../json/campaign-communityhealthworkereventcoordinator-waiting-period.json),"The number of days a person or node can be in the queue waiting to get the intervention from the community health worker (CHW). If a person or node is in the queue, they will not be re-added to the queue if the event that would add them to the queue occurs. This allows them to maintain their priority, however they could be removed from the queue due to this waiting period."
