Parameter,Type,Min,Max,Default,Example,Description
Durability_Map,json object,NA,NA,NA,[example](../json/campaign-waningeffectmaplinearage-durability-map.json),"The time, in days, since the intervention was distributed and a multiplier for the **Initial_Effect**."
Initial_Effect,float,0,1,1,[example](../json/campaign-waningeffectmaplinearage-initial-effect.json),"The multiplier used to define the magnitude of the shape of the curve, as specified when using the parameters with the **WaningEffectMapLinearAge** class."
Times,array of floats,0,125,[],[example](../json/campaign-waningeffectmaplinearage-times.json),An array of years.
Values,array of floats,0,3.40282E+38,[],[example](../json/campaign-waningeffectmaplinearage-values.json),An array of values to match the defined **Times**.
