Parameter,Type,Min,Max,Default,Example,Description
nonspec_mean_antibody_distribution,json object,NA,NA,NA,[example](../json/demo-complexdistro-malaria-nonspec-mean-antibody-distribution.json),"The mean of the fraction of the antigenic variants of non-specific malaria antibodies that the immune system has been exposed to, binned by age using **PopulationGroups**. **ResultValues** are bounded between 0 and 1, typically increasing with age.  **Immunity_Initialization_Distribution_Type** in the configuration file must be set to DISTRIBUTION_COMPLEX."
nonspec_variance_antibody_distribution,json object,NA,NA,NA,[example](../json/demo-complexdistro-malaria-nonspec-variance-antibody-distribution.json),"The variance of the fraction of the antigenic variants of non-specific malaria antibodies that the immune system has been exposed to, binned by age using **PopulationGroups**. **ResultValues** are bounded between 0 and 1, typically increasing with age.  **Immunity_Initialization_Distribution_Type** in the configuration file must be set to DISTRIBUTION_COMPLEX."
NumDistributionAxes,integer,1,NA,NA,[example](../json/demo-complexdistro-malaria-numdistributionaxes.json),The number of axes to use for a complex distribution. EMOD does not use this value; it is only informational.
NumPopulationGroups,array of integers,NA,NA,NA,[example](../json/demo-complexdistro-malaria-numpopulationgroups.json),"An array of population groupings for each independent variable for a complex distribution. This variable defines the number of columns for each row in the population group table. The number of values in the array is often two, representing the values for gender and number of age bins. EMOD does not use this value; it is only informational. See [example](../json/demo-complexdistro-numpopulationgroups.json)."
PfEMP1_mean_antibody_distribution,json object,NA,NA,NA,[example](../json/demo-complexdistro-malaria-pfemp1-mean-antibody-distribution.json),"The mean of the fraction of the antigenic variants of the PfEMP1 antibody that the immune system has been exposed to, binned by age using **PopulationGroups**. **ResultValues** are bounded between 0 and 1, typically increasing with age.  **Immunity_Initialization_Distribution_Type** in the configuration file must be set to DISTRIBUTION_COMPLEX."
PfEMP1_variance_antibody_distribution,json object,NA,NA,NA,[example](../json/demo-complexdistro-malaria-pfemp1-variance-antibody-distribution.json),"The variance of the fraction of the antigenic variants of the PfEMP1 antibody that the immune system has been exposed to, binned by age using **PopulationGroups**. **ResultValues** are bounded between 0 and 1, typically increasing with age.  **Immunity_Initialization_Distribution_Type** in the configuration file must be set to DISTRIBUTION_COMPLEX."
PopulationGroups,matrix of integers,NA,NA,NA,[example](../json/demo-complexdistro-malaria-populationgroups.json),"An array in which each row represents one of the distribution axes and contains the values that the independent variable can take. The values must be listed in ascending order and each defines the left edge of the bin.<br>!!! warning<br>    Mortality is sampled every 30 days. To correctly attribute neonatal deaths to days 0-30, you must indicate that the threshold for the first age group in **PopulationGroups** is less than 30 days. See [example](../json/demo-complexdistro-populationgroups.json)."
ResultScaleFactor,float,-3.40282e+038,3.40282e+038,1,[example](../json/demo-complexdistro-malaria-resultscalefactor.json),"The scale factor used to convert **ResultUnits** to number of births, deaths, or another variable per individual per day. "
ResultUnits,string,NA,NA,NA,[example](../json/demo-complexdistro-malaria-resultunits.json),A string that indicates the units used for the **ResultValues** parameter of a complex distribution. EMOD does not use this value; it is only informational. The values here are scaled by the value in **ResultScaleFactor** before being passed to EMOD as a daily rate.
ResultValues,array of floats,NA,NA,NA,"[example](../json/demo-complexdistro-malaria-resultvalues-1.json), [example](../json/demo-complexdistro-malaria-resultvalues-2.json)","An array in which each row represents one of the distribution axes and contains the dependent variable values. The units are configurable; the values are scaled by the value in **ResultScaleFactor** before being passed to EMOD in units of days.<br>For age distributions, it lists in ascending order the ages at which to bin the population. The corresponding values in **DistributionValues** represent the proportion of the population that is below that age. If the first member of the array is non-zero, the first bin is defined as those with that exact value (EMOD does not assume the bins start at zero).<br>For all other distributions, an array in which each row represents the values for a combination of axes. For example, a mortality distribution that includes both gender and age axes will have a row for males and a row for females that each contain the mortality rate at various ages set in **PopulationGroups**. See [example](../json/demo-complexdistro-resultvalues.json)."
SusceptibilityDistribution,json object,NA,NA,NA,[example](../json/demo-complexdistro-malaria-susceptibilitydistribution.json),The structure defining a complex immunity/susceptibility distribution. **Susceptibility_Initialization_Distribution_Type** in the configuration file must be set to DISTRIBUTION_COMPLEX (see [Immunity](parameter-configuration-immunity.md) parameters). See [example](../json/demo-complexdistro-susceptibilitydistribution.json).
